right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5442102551460266, 0.6462010145187378, -0.0031344357412308455]","[0.5323821306228638, 0.8008772730827332, -0.013918695971369743]","[0.5332987904548645, 0.9431250691413879, 0.09047707915306091]",139.50535696722125
"[0.5442138910293579, 0.6462004780769348, -0.0031594608444720507]","[0.5324458479881287, 0.8008810877799988, -0.014295028522610664]","[0.5332959890365601, 0.9431563019752502, 0.09012074023485184]",139.3818644125925
"[0.5441985726356506, 0.6461470127105713, -0.003145141527056694]","[0.5324410796165466, 0.800823986530304, -0.014469298534095287]","[0.5332968831062317, 0.9432023763656616, 0.09012662619352341]",139.28590280648916
"[0.5442001223564148, 0.6460464596748352, -0.003144192276522517]","[0.5325543284416199, 0.8007940053939819, -0.01480491179972887]","[0.5332732796669006, 0.9432677030563354, 0.0861489549279213]",140.14840257243176
"[0.5442015528678894, 0.6460237503051758, -0.003140317276120186]","[0.5325874090194702, 0.8008003830909729, -0.015033314004540443]","[0.5332537293434143, 0.9433499574661255, 0.08580740541219711]",140.11203456600413
"[0.5442388653755188, 0.6459569931030273, -0.002841297071427107]","[0.5326255559921265, 0.8006706833839417, -0.014693823643028736]","[0.5332502126693726, 0.9433537125587463, 0.08573103696107864]",140.2623363923812
"[0.5442330837249756, 0.6459647417068481, -0.0028570007998496294]","[0.5326010584831238, 0.8006725311279297, -0.014295732602477074]","[0.5332481265068054, 0.9433580636978149, 0.08696462959051132]",140.19023487487632
"[0.5442032217979431, 0.6459649205207825, -0.0028562736697494984]","[0.5325952768325806, 0.8007316589355469, -0.014209069311618805]","[0.5332425832748413, 0.9434420466423035, 0.08717760443687439]",140.19543329441652
"[0.5441980361938477, 0.6459543108940125, -0.002846962073817849]","[0.5325890779495239, 0.8007365465164185, -0.01416644174605608]","[0.5332399010658264, 0.9434433579444885, 0.08789980411529541]",140.0276801808982
"[0.5441923141479492, 0.645953893661499, -0.0028495541773736477]","[0.5325726270675659, 0.8007789850234985, -0.014234255068004131]","[0.5332368612289429, 0.9434924721717834, 0.08783753961324692]",140.00401224660524
"[0.5441756248474121, 0.6459489464759827, -0.002846378367394209]","[0.5325708389282227, 0.8007169961929321, -0.014372850768268108]","[0.533219039440155, 0.9434984922409058, 0.08744171261787415]",140.03236974588094
"[0.5441663861274719, 0.645916759967804, -0.002851883415132761]","[0.5325669050216675, 0.8006221652030945, -0.014422096312046051]","[0.5331995487213135, 0.9434576630592346, 0.08725632727146149]",140.061439416441
"[0.5441678762435913, 0.6459146738052368, -0.0028497453313320875]","[0.532563328742981, 0.8006391525268555, -0.014834006316959858]","[0.5331963300704956, 0.943520188331604, 0.0867740660905838]",139.9377282266859
"[0.5441620349884033, 0.6459160447120667, -0.0026019378565251827]","[0.5325496196746826, 0.8006496429443359, -0.014323954470455647]","[0.5331991910934448, 0.9435151219367981, 0.0890273004770279]",139.57183480505233
"[0.5441614389419556, 0.6459128856658936, -0.0025906129740178585]","[0.5325122475624084, 0.8006078600883484, -0.014245358295738697]","[0.5331971645355225, 0.9435175657272339, 0.0896056666970253]",139.47062135628917
"[0.544144332408905, 0.6459243893623352, -0.0026241643354296684]","[0.5325313210487366, 0.8007554411888123, -0.014308201149106026]","[0.5331953167915344, 0.9435279369354248, 0.08943337202072144]",139.46858863953312
"[0.5441352725028992, 0.6459458470344543, -0.0025579093489795923]","[0.5325257778167725, 0.800752580165863, -0.013697868213057518]","[0.5331936478614807, 0.9435465335845947, 0.09018733352422714]",139.63321800842525
"[0.544128954410553, 0.6459469199180603, -0.002475263550877571]","[0.5324748754501343, 0.8008469939231873, -0.013729031197726727]","[0.5331929922103882, 0.9435561895370483, 0.09015915542840958]",139.5740076327784
"[0.5440880060195923, 0.6459481716156006, -0.002442852593958378]","[0.5324712991714478, 0.8008490800857544, -0.013694140128791332]","[0.5331937074661255, 0.9435596466064453, 0.09022953361272812]",139.56708187567844
"[0.5440860986709595, 0.6459534168243408, -0.0023564910516142845]","[0.5324686765670776, 0.800845205783844, -0.013563953340053558]","[0.5331927537918091, 0.9435876607894897, 0.09022855013608932]",139.62294529672354
"[0.5440440773963928, 0.6460322141647339, -0.0023479429073631763]","[0.5324331521987915, 0.8010684251785278, -0.013307372108101845]","[0.5331950783729553, 0.9435914158821106, 0.09065603464841843]",139.6301779082404
"[0.5440343618392944, 0.6460222601890564, -0.002348049310967326]","[0.5323847532272339, 0.8010502457618713, -0.013789971359074116]","[0.5331888198852539, 0.9436858296394348, 0.08850446343421936]",139.90919285057598
"[0.5439993143081665, 0.646022617816925, -0.0023579024709761143]","[0.5322979688644409, 0.8010498285293579, -0.013787646777927876]","[0.5331873297691345, 0.9436445832252502, 0.08866334706544876]",139.85948239166268
"[0.5439919829368591, 0.6460450291633606, -0.002341413637623191]","[0.5322449803352356, 0.8010508418083191, -0.013539304956793785]","[0.5331839323043823, 0.9436531066894531, 0.08868585526943207]",140.00060208941352
"[0.5439887046813965, 0.6460457444190979, -0.002382006961852312]","[0.5322511196136475, 0.8010156154632568, -0.01354296039789915]","[0.5331805348396301, 0.9436572790145874, 0.08870228379964828]",140.01591339968678
"[0.543986439704895, 0.6460525393486023, -0.0023568826727569103]","[0.5322490930557251, 0.8010508418083191, -0.013545851223170757]","[0.5331794619560242, 0.9438070058822632, 0.08907540142536163]",139.92929777627646
"[0.5439717769622803, 0.6460583806037903, -0.002138922456651926]","[0.5322463512420654, 0.8010556101799011, -0.013136347755789757]","[0.5331764817237854, 0.9438099265098572, 0.08949534595012665]",139.99648406192222
"[0.5439016819000244, 0.6460438370704651, -0.002056579105556011]","[0.5322605967521667, 0.8010475039482117, -0.013134367763996124]","[0.5331801176071167, 0.943795382976532, 0.08946342021226883]",139.9784839722893
"[0.5438791513442993, 0.646068274974823, -0.002059393795207143]","[0.5322365760803223, 0.801060140132904, -0.013145302422344685]","[0.533179759979248, 0.9438114166259766, 0.08959320187568665]",139.93790062706043
"[0.5438632965087891, 0.6460829973220825, -0.0020280531607568264]","[0.5322237014770508, 0.8011055588722229, -0.013050438836216927]","[0.5331799387931824, 0.9438162446022034, 0.09002421796321869]",139.86578641030832
