Frame,Left Hip Flexion (deg),Left Hip Adduction (deg),Left Hip Rotation (deg),Right Hip Flexion (deg),Right Hip Adduction (deg),Right Hip Rotation (deg),Left Knee Flexion (deg),Right Knee Flexion (deg)
120,-73.70023672095749,-35.16054991023686,-165.83922775725375,0.2554014230211187,0.2619920297992947,-89.74451568207758,106.07467499069232,7.1738652102808915
121,-73.96698524275789,-35.24987820234151,-166.06347713977084,0.256560588445172,0.2611699856808614,-89.74339873632418,106.06594691867357,7.18580814830429
122,-73.88753948853902,-35.33472139454316,-165.98178477293104,0.28888212737374125,0.2924996244334424,-89.71109550320698,106.51377923855907,7.558621627373919
123,-73.87284963859727,-35.41967455839505,-165.95742700544267,0.314371122404793,0.31883342332194725,-89.68559765159607,105.91763192687193,6.923167674918612
124,-74.01076724647528,-35.7793168981336,-166.03273215627212,0.3340592550088309,0.33801417583416843,-89.66591760825148,106.19428285400907,7.171096459386892
125,-73.80229533847643,-34.872250174599635,-165.9690047147484,0.31292640903623425,0.3171437616100065,-89.68704555043557,106.44976499434132,7.678296005329369
126,-74.11791484392846,-34.83878990476905,-166.2517033120727,0.2882688995470281,0.2930831846569655,-89.71169156047645,105.92804712401554,7.3772088949541335
127,-73.88168440148337,-35.095203339349624,-166.0087778675838,0.28761151827408654,0.29203696438848004,-89.7123549512276,105.80398446152215,7.069962694476892
128,-73.93368969423196,-35.8195076696225,-165.95890913435497,0.2818128983604807,0.2873835478723093,-89.71813311158537,105.87880184789775,7.034894530800044
129,-73.72283806202836,-36.23877957021197,-165.71612489271635,0.25211457466801057,0.2544194798289823,-89.74787498484176,106.29063615410638,7.035895226434348
130,-73.74854893780002,-36.91555938386321,-165.6532064392048,0.22530755625444282,0.22883593079626002,-89.7746652423435,108.23288620143988,9.301078737650105
131,-72.91293705670348,-36.732816262755875,-164.92018922601923,0.23465335593606823,0.23861829134181822,-89.76531370324977,108.81087132874839,9.634886623763562
132,-72.44363911416414,-37.884081410101885,-164.33873815363154,0.2261552803523691,0.22755951192153576,-89.77384038704857,109.45895184241832,9.588486032351605
133,-72.18098918633345,-37.466301300303144,-164.15165990677414,0.1622159918556176,0.16387496542232508,-89.83777561094774,110.72293675251304,11.105146201217138
134,-72.36103245621688,-37.06988534447238,-164.3709118895555,0.11051890095131803,0.11137494459531841,-89.88947780921895,111.06874349570235,11.83184587031335
135,-72.15806344014177,-36.32010248187084,-164.289586597423,0.07028305104581639,0.07025842273875912,-89.9297169446376,110.90122823570331,11.653882262444963
136,-71.98508693201003,-36.037462637314746,-164.1725508408775,0.02015431979131093,0.019983127220104695,-89.97984494691767,111.91769902512925,12.674776221564873
137,-72.12119024747473,-36.59770551944999,-164.2164825419245,0.020194852056136154,0.019859529985728094,-89.97980231703893,112.10194103464507,12.673575402227653
