right_foot_index,right_ankle,right_knee,right_hip,angle_xy,angle_hip
"[0.512325644493103, 0.9369533658027649]","[0.5269777178764343, 0.8963881731033325]","[0.5400283336639404, 0.7388389110565186]","[0.5476495623588562, 0.5771428942680359]",177.96323531049083,93.59597187422102
"[0.5122599601745605, 0.9369669556617737]","[0.5269709229469299, 0.8964395523071289]","[0.5399816632270813, 0.7387765049934387]","[0.54777991771698, 0.5771405100822449]",178.0446391546908,93.68063472394283
"[0.5121786594390869, 0.9369609355926514]","[0.5269390344619751, 0.8964817523956299]","[0.5398303866386414, 0.7387841939926147]","[0.5479000806808472, 0.5771147608757019]",178.18415004766817,93.80759319575604
"[0.5121095776557922, 0.9370134472846985]","[0.5269361138343811, 0.8966516256332397]","[0.5397197604179382, 0.7388878464698792]","[0.5479308366775513, 0.5771839022636414]",178.27432142089424,93.87327708491843
"[0.5121067762374878, 0.9370172023773193]","[0.5269314646720886, 0.8966557383537292]","[0.5389512181282043, 0.7391122579574585]","[0.5482707023620605, 0.5775420069694519]",178.9382828464123,94.397823364903
"[0.5121201276779175, 0.9371545910835266]","[0.5269283056259155, 0.8967857360839844]","[0.538682758808136, 0.7394710183143616]","[0.5484097003936768, 0.577997088432312]",179.1740813856992,94.5920222946655
"[0.5120598077774048, 0.9374172687530518]","[0.5269278883934021, 0.8969469666481018]","[0.5365351438522339, 0.7397981882095337]","[0.5485677719116211, 0.5790125727653503]",179.21857451681555,95.69822387098327
"[0.5118757486343384, 0.9374426007270813]","[0.5269178152084351, 0.8969509601593018]","[0.5351857542991638, 0.7410486340522766]","[0.5487788915634155, 0.5817909240722656]",178.15716496959544,96.49256252559869
"[0.5113891363143921, 0.9376435875892639]","[0.5268900990486145, 0.8970994353294373]","[0.5343306660652161, 0.7416969537734985]","[0.5488160848617554, 0.5828349590301514]",177.5312303401326,96.93180357601673
"[0.5111888647079468, 0.9376428127288818]","[0.5268675684928894, 0.8970643877983093]","[0.5335813760757446, 0.741679847240448]","[0.5488631129264832, 0.5833628177642822]",176.96061852281514,97.33374143936412
"[0.5111833810806274, 0.9376468062400818]","[0.5268526673316956, 0.8970621228218079]","[0.5329870581626892, 0.7416807413101196]","[0.5489414930343628, 0.5836026668548584]",176.49763131370568,97.6642549350154
"[0.5110204219818115, 0.9377239346504211]","[0.5265136361122131, 0.8970054388046265]","[0.5309138894081116, 0.743082582950592]","[0.5492381453514099, 0.5868064761161804]",174.94977534349798,98.88574102030915
"[0.5107010006904602, 0.9377784132957458]","[0.5259678363800049, 0.8969974517822266]","[0.528497576713562, 0.7437512874603271]","[0.5492585301399231, 0.5897124409675598]",173.26981414359875,100.18750029944961
"[0.5100845098495483, 0.9377947449684143]","[0.525739848613739, 0.8969404101371765]","[0.5276567935943604, 0.7449483871459961]","[0.5492639541625977, 0.5923505425453186]",172.6633381709852,100.69125756354077
"[0.5087025761604309, 0.9378114938735962]","[0.525701642036438, 0.8967943787574768]","[0.5239304900169373, 0.7490656971931458]","[0.5497571229934692, 0.5988630652427673]",169.5567651986154,102.91250936250448
"[0.5075916051864624, 0.9380720853805542]","[0.5256246328353882, 0.8969539403915405]","[0.5228397846221924, 0.7515064477920532]","[0.5498848557472229, 0.6010748147964478]",168.71116752773244,103.48006754975225
"[0.5070741772651672, 0.9383322596549988]","[0.5255113840103149, 0.8971968293190002]","[0.5199370384216309, 0.7534379959106445]","[0.5502836108207703, 0.6073467135429382]",166.04464015452538,105.4808415777172
"[0.5063985586166382, 0.9383352994918823]","[0.5254842042922974, 0.8971970677375793]","[0.5195050239562988, 0.7544278502464294]","[0.5502969026565552, 0.6105028986930847]",165.52581585079747,105.92125758410938
"[0.505294919013977, 0.938263475894928]","[0.5254871249198914, 0.8971935510635376]","[0.5189187526702881, 0.7557250261306763]","[0.5503503680229187, 0.6105813384056091]",165.1226502210816,106.10555600876948
"[0.5042768716812134, 0.9381252527236938]","[0.5254944562911987, 0.897195041179657]","[0.5165038108825684, 0.7560712099075317]","[0.5503379106521606, 0.6171578168869019]",162.66617719779762,107.99120836037918
"[0.5039430260658264, 0.9382821917533875]","[0.5254325866699219, 0.8973407745361328]","[0.5153043270111084, 0.757411539554596]","[0.5503591299057007, 0.6198724508285522]",161.56143461238042,108.76923780612155
"[0.5033940076828003, 0.9388638138771057]","[0.5252525210380554, 0.897563636302948]","[0.51248699426651, 0.7621964812278748]","[0.5506628751754761, 0.630814790725708]",158.41036753450192,111.17784950390754
"[0.5032907724380493, 0.940013587474823]","[0.5252909660339355, 0.8977140188217163]","[0.5095205903053284, 0.7649672031402588]","[0.5508245229721069, 0.6433312296867371]",154.46904384135982,114.35911841325851
"[0.5027616024017334, 0.9424057602882385]","[0.5252798795700073, 0.8986446857452393]","[0.5087676644325256, 0.767932653427124]","[0.5510179996490479, 0.6458555459976196]",153.70973361772366,114.77146469490819
"[0.5020868182182312, 0.9431887269020081]","[0.52544766664505, 0.9001700282096863]","[0.5082978010177612, 0.7678788304328918]","[0.551241934299469, 0.6429635286331177]",153.6412750575215,114.62583818061289
"[0.5014922618865967, 0.9445043802261353]","[0.5254458785057068, 0.9009758234024048]","[0.5077756643295288, 0.7689210176467896]","[0.5513083934783936, 0.6432726383209229]",153.26914538082042,114.79471522710521
"[0.5013571977615356, 0.945038378238678]","[0.5254617929458618, 0.9012216925621033]","[0.5060845017433167, 0.7718675136566162]","[0.5518027544021606, 0.6543642282485962]",150.2203786706121,117.41911857036422
"[0.5014039874076843, 0.9449489712715149]","[0.5255358815193176, 0.901376485824585]","[0.5048336982727051, 0.7762213349342346]","[0.5521946549415588, 0.6668577790260315]",147.19213201096412,120.00269688825571
"[0.5013006925582886, 0.9434595108032227]","[0.5257539749145508, 0.9015769958496094]","[0.5043511390686035, 0.7805988192558289]","[0.552955150604248, 0.6678632497787476]",146.64487358806775,119.89217764639261
"[0.5012616515159607, 0.9418992400169373]","[0.5257676839828491, 0.9013671875]","[0.5035611391067505, 0.7830751538276672]","[0.5538201928138733, 0.6799018383026123]",143.39560208754844,123.00411565126701
"[0.5024932026863098, 0.9408339262008667]","[0.5259467363357544, 0.9015140533447266]","[0.5040290355682373, 0.7842941880226135]","[0.5541570782661438, 0.6791362166404724]",143.92236298972844,122.43964515554548
"[0.5025685429573059, 0.9400009512901306]","[0.525952160358429, 0.9016351699829102]","[0.5038460493087769, 0.787863552570343]","[0.5551624298095703, 0.6902225613594055]",141.2795920441027,125.02081716747313
"[0.5025923252105713, 0.9397261142730713]","[0.5259577035903931, 0.9016271829605103]","[0.5041232705116272, 0.7864735126495361]","[0.5554755330085754, 0.6889674663543701]",141.48967417385748,125.07689959083125
"[0.5025948286056519, 0.9395719766616821]","[0.5265548229217529, 0.9016989469528198]","[0.5042492151260376, 0.7864184975624084]","[0.5560723543167114, 0.689063310623169]",141.0223458865095,125.36510025407294
"[0.502599835395813, 0.9388543367385864]","[0.5269438028335571, 0.9017928838729858]","[0.5043436884880066, 0.7884786128997803]","[0.5567125082015991, 0.7003291249275208]",138.00640737206422,128.3834969988541
"[0.5026713013648987, 0.9379323124885559]","[0.5268591046333313, 0.9018219113349915]","[0.5043901801109314, 0.7898319363594055]","[0.5572137832641602, 0.701921820640564]",137.65428023283678,128.70086837004894
"[0.5026491284370422, 0.9362711310386658]","[0.5267464518547058, 0.9018474221229553]","[0.504429042339325, 0.7907859086990356]","[0.5578904747962952, 0.7121549248695374]",134.4260418383179,132.19347623688745
"[0.5026501417160034, 0.9363815188407898]","[0.5267328023910522, 0.9018785357475281]","[0.5044221878051758, 0.7928745746612549]","[0.558637797832489, 0.7200657725334167]",131.76015838676028,134.79414064488768
"[0.5025967359542847, 0.9364210963249207]","[0.5267292261123657, 0.9025083780288696]","[0.5044531226158142, 0.7936007976531982]","[0.5591155290603638, 0.7232293486595154]",130.60111839225422,136.00449424704144
"[0.5026417970657349, 0.9361863732337952]","[0.5267364382743835, 0.9022781252861023]","[0.5044782161712646, 0.7956841588020325]","[0.5596154928207397, 0.730157732963562]",128.12639802553824,138.28882284999503
"[0.5024935603141785, 0.93623948097229]","[0.5268212556838989, 0.9028833508491516]","[0.5040639638900757, 0.7953985929489136]","[0.5595594644546509, 0.729716956615448]",127.85053182050332,138.40576456364272
"[0.5024210810661316, 0.9360513687133789]","[0.5268316864967346, 0.9028753042221069]","[0.5038963556289673, 0.7961997389793396]","[0.5595792531967163, 0.7322273850440979]",126.8290719676606,139.25011143108875
"[0.5024087429046631, 0.9358395934104919]","[0.5269647836685181, 0.9028769731521606]","[0.5038541555404663, 0.7971561551094055]","[0.5595687627792358, 0.7358914613723755]",125.38544825296636,140.48717933253982
"[0.5024497509002686, 0.9358340501785278]","[0.5270623564720154, 0.9034720063209534]","[0.5038495063781738, 0.7980430126190186]","[0.5598132610321045, 0.7396692037582397]",123.7905320600331,141.96398421263197
"[0.5024507641792297, 0.9358606338500977]","[0.5272434949874878, 0.9034649133682251]","[0.5037317872047424, 0.7983521819114685]","[0.5603123307228088, 0.7442810535430908]",121.09241492631278,144.36944563514032
