frame,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal
92,161.1819790442198,30.776634618558795,177.7656297216023,165.78769977857297,0.0,-99.42885987623907,-8.131659120262697,-175.24354216430297,30.751145278071693,177.76789128355745,166.4960540655004,0.0,-69.0657974758067,-5.549950471995548
93,161.15835807947036,31.35473697450344,177.50814800029875,165.86037334218722,1.2722218725854067e-14,-100.26272387316698,-7.8414448845248685,-174.81851646154192,31.242694567990995,177.519108131894,166.37038124014603,0.0,-68.61658529594725,-5.621904307635707
94,161.55705553448885,31.12177233494422,177.5038675590917,166.42234490559633,1.2722218725854067e-14,-100.10981889803139,-7.722230849784607,-175.08919926967295,30.94165492267844,177.52157962061398,167.03672498499196,0.0,-68.88005884026391,-5.559657443678211
95,161.53811087422056,31.18397274543706,177.61857659644627,166.46496573365485,0.0,-100.40984094942658,-7.70009077682517,-174.55785657040573,31.258042666094976,177.6116172102952,166.7648057381971,0.0,-67.99408372982742,-5.354791004427201
96,159.22747853287467,35.73585049657997,176.71294675573583,165.2319358657408,0.0,-99.94834137065185,-8.56607212194277,-174.57317445395674,35.8409367922421,176.7001991378618,165.44125988617503,0.0,-68.7415236110811,-6.09943778690033
97,159.07617822832722,35.73321026887057,176.89541544104736,165.67572812696852,0.0,-102.9453037592463,-7.44096904733888,-174.1624489663151,35.88932991380412,176.87751847662457,165.3898528097476,0.0,-67.07315995590841,-5.646935303007953
98,158.6835866435934,35.282415298304656,177.1644187230655,165.27793750279483,0.0,-101.91098695610786,-8.049007508861916,-174.25400457024378,35.510483504395545,177.14039277760466,165.44267564989232,0.0,-67.57685669085618,-5.697132306568904
99,159.44821799307164,34.21897491087941,177.62223274075856,165.54676692655588,0.0,-101.96048015824792,-7.772769213249328,-173.60678283586358,34.26728553539746,177.61791629456886,165.9221906728885,1.2722218725854067e-14,-66.57565508242983,-5.199359608446888
100,159.88983092900855,34.249965266410356,177.73840650147173,165.8774085799849,0.0,-102.26739476934183,-7.472330880982142,-173.27779188296438,34.18240753202035,177.74413704411793,166.1054877193142,0.0,-65.75655822932316,-4.984964743794187
101,159.22812182903635,35.999944869595765,177.33767644141187,165.2152024558155,-1.2722218725854067e-14,-99.84494142544554,-8.63057104376507,-173.83873185474076,35.96925303311548,177.34067648984046,165.64774750529634,1.2722218725854067e-14,-69.31126460347932,-6.091075892431281
